year;state;month;number
2012;Acre;Janeiro;1
2013;Acre;Janeiro;0
2014;Acre;Janeiro;0
2015;Acre;Janeiro;3
2016;Acre;Janeiro;16
2017;Acre;Janeiro;0
2018;Acre;Janeiro;0
2019;Acre;Janeiro;1
2020;Acre;Janeiro;16
2021;Acre;Janeiro;5
2022;Acre;Janeiro;24
2012;Acre;Fevereiro;0
2013;Acre;Fevereiro;0
2014;Acre;Fevereiro;0
2015;Acre;Fevereiro;2
2016;Acre;Fevereiro;2
2017;Acre;Fevereiro;4
2018;Acre;Fevereiro;2
2019;Acre;Fevereiro;1
2020;Acre;Fevereiro;0
2021;Acre;Fevereiro;0
2022;Acre;Fevereiro;3
2012;Acre;Março;0
2013;Acre;Março;0
2014;Acre;Março;1
2015;Acre;Março;1
2016;Acre;Março;0
2017;Acre;Março;0
2018;Acre;Março;1
2019;Acre;Março;2
2020;Acre;Março;1
2021;Acre;Março;3
2022;Acre;Março;0
2012;Acre;Abril;3
2013;Acre;Abril;46
2014;Acre;Abril;7
2015;Acre;Abril;3
2016;Acre;Abril;1
2017;Acre;Abril;1
2018;Acre;Abril;5
2019;Acre;Abril;6
2020;Acre;Abril;4
2021;Acre;Abril;7
2022;Acre;Abril;6
2012;Acre;Maio;15
2013;Acre;Maio;11
2014;Acre;Maio;1
2015;Acre;Maio;2
2016;Acre;Maio;23
2017;Acre;Maio;9
2018;Acre;Maio;14
2019;Acre;Maio;33
2020;Acre;Maio;39
2021;Acre;Maio;30
2022;Acre;Maio;33
2012;Acre;Junho;12
2013;Acre;Junho;19
2014;Acre;Junho;23
2015;Acre;Junho;42
2016;Acre;Junho;101
2017;Acre;Junho;39
2018;Acre;Junho;41
2019;Acre;Junho;60
2020;Acre;Junho;71
2021;Acre;Junho;50
2022;Acre;Junho;71
2012;Acre;Julho;132
2013;Acre;Julho;98
2014;Acre;Julho;91
2015;Acre;Julho;118
2016;Acre;Julho;588
2017;Acre;Julho;362
2018;Acre;Julho;381
2019;Acre;Julho;272
2020;Acre;Julho;335
2021;Acre;Julho;433
2022;Acre;Julho;313
2012;Acre;Agosto;1.092
2013;Acre;Agosto;1.045
2014;Acre;Agosto;1.263
2015;Acre;Agosto;1.624
2016;Acre;Agosto;2.526
2017;Acre;Agosto;1.318
2018;Acre;Agosto;1.368
2019;Acre;Agosto;3.051
2020;Acre;Agosto;3.578
2021;Acre;Agosto;3.185
2022;Acre;Agosto;2.638
2012;Acre;Setembro;2.796
2013;Acre;Setembro;3.331
2014;Acre;Setembro;2.528
2015;Acre;Setembro;2.949
2016;Acre;Setembro;3.863
2017;Acre;Setembro;3100
2018;Acre;Setembro;4.379
2019;Acre;Setembro;2.977
2020;Acre;Setembro;3.357
2021;Acre;Setembro;3.982
2022;Acre;Setembro;6.693
2012;Acre;Outubro;627
2013;Acre;Outubro;318
2014;Acre;Outubro;406
2015;Acre;Outubro;912
2016;Acre;Outubro;515
2017;Acre;Outubro;1350
2018;Acre;Outubro;407
2019;Acre;Outubro;354
2020;Acre;Outubro;1.652
2021;Acre;Outubro;1.118
2022;Acre;Outubro;1.127
2012;Acre;Novembro;39
2013;Acre;Novembro;108
2014;Acre;Novembro;70
2015;Acre;Novembro;115
2016;Acre;Novembro;46
2017;Acre;Novembro;102
2018;Acre;Novembro;26
2019;Acre;Novembro;44
2020;Acre;Novembro;129
2021;Acre;Novembro;14
2022;Acre;Novembro;923
2012;Acre;Dezembro;3
2013;Acre;Dezembro;4
2014;Acre;Dezembro;8
2015;Acre;Dezembro;8
2016;Acre;Dezembro;6
2017;Acre;Dezembro;10
2018;Acre;Dezembro;2
2019;Acre;Dezembro;1
2020;Acre;Dezembro;11
2021;Acre;Dezembro;1
2022;Acre;Dezembro;9
2012;Alagoas;Janeiro;43
2013;Alagoas;Janeiro;45
2014;Alagoas;Janeiro;49
2015;Alagoas;Janeiro;64
2016;Alagoas;Janeiro;22
2017;Alagoas;Janeiro;38
2018;Alagoas;Janeiro;17
2019;Alagoas;Janeiro;32
2020;Alagoas;Janeiro;45
2021;Alagoas;Janeiro;21
2022;Alagoas;Janeiro;19
2012;Alagoas;Fevereiro;52
2013;Alagoas;Fevereiro;22
2014;Alagoas;Fevereiro;26
2015;Alagoas;Fevereiro;40
2016;Alagoas;Fevereiro;14
2017;Alagoas;Fevereiro;16
2018;Alagoas;Fevereiro;16
2019;Alagoas;Fevereiro;9
2020;Alagoas;Fevereiro;21
2021;Alagoas;Fevereiro;37
2022;Alagoas;Fevereiro;29
2012;Alagoas;Março;58
2013;Alagoas;Março;36
2014;Alagoas;Março;19
2015;Alagoas;Março;27
2016;Alagoas;Março;10
2017;Alagoas;Março;19
2018;Alagoas;Março;13
2019;Alagoas;Março;11
2020;Alagoas;Março;12
2021;Alagoas;Março;34
2022;Alagoas;Março;24
2012;Alagoas;Abril;18
2013;Alagoas;Abril;20
2014;Alagoas;Abril;15
2015;Alagoas;Abril;46
2016;Alagoas;Abril;14
2017;Alagoas;Abril;6
2018;Alagoas;Abril;2
2019;Alagoas;Abril;5
2020;Alagoas;Abril;5
2021;Alagoas;Abril;24
2022;Alagoas;Abril;3
